customer_state,HUB_SaoPaulo,HUB_South,HUB_MG_RJ
BA,0.7482916261140338,0.08586633284292965,0.16584204104303657
DF,0.7147477533556746,0.13394473330108775,0.1513075133432377
MG,0.6852567704448994,0.1290738970296122,0.18566933252548826
PR,0.6462540754615381,0.23134991392242393,0.12239601061603804
RJ,0.6896198341115956,0.13617447844385291,0.1742056874445515
RS,0.687343014357509,0.2207594476580156,0.09189753798447534
SC,0.677416845880973,0.21535750286121066,0.10722565125781638
SP,0.7772335516550396,0.12330941028197856,0.0994570380629819
